# Prioritization file for occultation-standard
# Version: 1.0.1
# Updated by: Joe P. Renaud
# Updated on: 2026-05-08 17:00:15
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
399,G2003021980631268224,0.855369,600.0,0.0,600.0
400,G375547615331646080,0.855257,600.0,0.0,600.0
401,G447095826254298112,0.855145,600.0,0.0,600.0
402,G3131332940370815744,0.855034,600.0,0.0,600.0
403,G248090990491799680,0.854922,600.0,0.0,600.0
404,G3134475314538749184,0.85481,600.0,0.0,600.0
405,G3127369961164589184,0.854698,600.0,0.0,600.0
406,G3158504797566226944,0.854586,600.0,0.0,600.0
407,G183631502837241088,0.854474,600.0,0.0,600.0
408,G336051989431250432,0.854362,600.0,0.0,600.0
409,G3396880529075737984,0.854251,600.0,0.0,600.0
410,G3329816371395235712,0.854139,600.0,0.0,600.0
411,G201531414700407936,0.854027,600.0,0.0,600.0
412,G3112924023342943616,0.853915,600.0,0.0,600.0
413,G505081733045397120,0.853803,600.0,0.0,600.0
414,G2079084094787956736,0.853691,600.0,0.0,600.0
415,G3403310129478240384,0.853579,600.0,0.0,600.0
416,G3398874703869380736,0.853468,600.0,0.0,600.0
417,G348499835447992064,0.853356,600.0,0.0,600.0
418,G124329274471999232,0.853244,600.0,0.0,600.0
419,G3383645608832139648,0.853132,600.0,0.0,600.0
420,G3373077446664160640,0.85302,600.0,0.0,600.0
421,G3137798760232555648,0.852908,600.0,0.0,600.0
422,G1943927594318111488,0.852796,600.0,0.0,600.0
423,G891667783681590656,0.852685,600.0,0.0,600.0
424,G3351534268664316928,0.852573,600.0,0.0,600.0
425,G931831504631262336,0.852461,600.0,0.0,600.0
426,G3354073178452718720,0.852349,600.0,0.0,600.0
427,G251609324623302400,0.852237,600.0,0.0,600.0
428,G3435959856683946112,0.852125,600.0,0.0,600.0
429,G3369363914860764032,0.852013,600.0,0.0,600.0
430,G204147904480805376,0.851902,600.0,0.0,600.0
431,G3148121353348674688,0.85179,600.0,0.0,600.0
432,G182423861115896960,0.851678,600.0,0.0,600.0
433,G257920070391100032,0.851566,600.0,0.0,600.0
434,G199156744462085632,0.851454,600.0,0.0,600.0
435,G3366967975942219392,0.851342,600.0,0.0,600.0
436,G2107451189846182400,0.85123,600.0,0.0,600.0
437,G181514564995816064,0.851119,600.0,0.0,600.0
438,G3110463247598244096,0.851007,600.0,0.0,600.0
439,G2068237829195888000,0.850895,600.0,0.0,600.0
440,G182077613731225728,0.850783,600.0,0.0,600.0
441,G418099505613329664,0.850671,600.0,0.0,600.0
442,G195878206945470080,0.850559,600.0,0.0,600.0
443,G3380804505143796352,0.850447,600.0,0.0,600.0
444,G2009040260600466304,0.850336,600.0,0.0,600.0
445,G408394253904872576,0.850224,600.0,0.0,600.0
446,G3130840634034751872,0.850112,600.0,0.0,600.0
447,G2026278300862105472,0.85,600.0,0.0,600.0
448,G1995015921070825088,0.849888,600.0,0.0,600.0
449,G3369553099579973760,0.849776,600.0,0.0,600.0
450,G260474824315517312,0.849664,600.0,0.0,600.0
451,G3378409219063416960,0.849553,600.0,0.0,600.0
452,G474095227626626304,0.849441,600.0,0.0,600.0
453,G3131317723301308032,0.849329,600.0,0.0,600.0
454,G202882572753525120,0.849217,600.0,0.0,600.0
455,G3375090033978127104,0.849105,600.0,0.0,600.0
456,G247319786168189312,0.848993,600.0,0.0,600.0
457,G458414198954086912,0.848881,600.0,0.0,600.0
458,G4521648832295686144,0.84877,600.0,0.0,600.0
459,G3348661584078591488,0.848658,600.0,0.0,600.0
